Annotation/Divergence	AB425_SB139.M (1348270.0 total)	AB426_SB139.M (919032.0 total)	AB427_SB139.M (1076940.0 total)	AB428_SB139.M (1045155.0 total)	AB429_SB139.M (1152020.0 total)	AB430_SB139.M (1353472.0 total)	AB431_SB139.M (984314.0 total)	AB432_SB139.M (1095253.0 total)
Med24|911GSE|AU040102|AW547152|D11Ertd307e|DRIP100|Gse2|Pparb2|Pparbp2|R75526|Thrap4|Trap100|-|11 D|11 62.46 cM|protein-coding	34	21	32	29	13	24	29	28
Smr2|MSG2|Vcs2|-|5|5 E1|protein-coding	0	0	0	0	0	0	0	0
Mbtd1|AA408199|AI194990|hemp|-|11|11 D|protein-coding	8	4	11	5	6	7	4	2
Mir1249|mir-1249|mmu-mir-1249|-|15 E2|15 40.25 cM|ncRNA	0	0	0	0	0	0	0	0
2310057M21Rik|3110040E10Rik|AI429544|-|7|7 F3|protein-coding	9	16	14	15	16	15	16	16
Rbmx|hnRNP G|-|X|X A6|protein-coding	13	6	5	3	8	11	7	9
Vmn1r194|Gm11294|OTTMUSG00000000480|-|13 A3.1|13|protein-coding	0	0	0	0	0	0	0	0
Zc4h2|Gm372|mKIAA1166|-|X|X C3|protein-coding	1	7	6	4	2	2	2	0
Srrm2|5033413A03Rik|AA410130|SRm300|mKIAA0324|-|17|17 A3.3|protein-coding	37	27	21	20	28	28	27	16
2210409D07Rik|-|-|18|18 D3|ncRNA	0	0	1	0	0	0	0	1
Vps26a|AA407240|HB58|Vps26|-|10|10 B4|protein-coding	124	93	86	78	97	121	85	110
2810471M01Rik|-|-|11|11 A3.3|ncRNA	0	0	0	0	0	0	0	0
Dct|DT|TRP-2|TRP2|Tyrp-2|Tyrp2|slaty|slt|-|14 E4|14 61.6 cM|protein-coding	0	1	3	2	0	0	2	0
Ccrl2|1810047I05Rik|Ackr5|CCR11|Cmkbr1l2|E01|L-CCR|-|9 F2|9 60.92 cM|protein-coding	4	7	2	2	5	3	0	2
Hcrtr1|Ox1r|ox-1-R|ox1-R|-|4|4 D2.2|protein-coding	0	1	0	0	1	3	1	0
Rfc3|2810416I22Rik|38kDa|AU022547|Recc3|-|5|5 G3|protein-coding	17	18	15	11	11	14	10	19
Nrros|E430025L02Rik|Lrcc33|Lrrc33|-|16|16 B2|protein-coding	5	11	0	3	4	4	3	4
Rdh10|3110069K09Rik|4921506A21Rik|AI875664|AW549993|D1Ertd762e|m366Asp|-|1 A3|1 4.94 cM|protein-coding	55	35	30	22	28	29	15	35
Rbm10|E430039K10Rik|-|X|X A1.3|protein-coding	19	10	14	13	27	26	21	19
Whrn|1110035G07Rik|AW122018|AW742671|C430046P22Rik|Dfnb31|Ush2d|wi|-|4 33.97 cM|4 C1|protein-coding	11	2	6	6	10	13	6	18
Necab2|Efcbp2|-|8|8 E1|protein-coding	7	3	6	5	2	4	12	8
Lonrf1|-|-|8|8 A4|protein-coding	7	5	6	7	8	6	4	2
Zfp512|2500002M11Rik|AI450173|D230008H22|Znf512|-|5|5 B1|protein-coding	22	14	15	20	15	24	14	20
Cd69|5830438K24Rik|AI452015|AIM|VEA|-|6 F3|6 63.21 cM|protein-coding	1	1	0	0	0	0	0	0
Hsd3b1|3-beta-HSD I|D3Ertd383e|-|3 F2.2|3 42.89 cM|protein-coding	0	0	0	0	0	0	0	0
Tubb3|3200002H15Rik|M(beta)3|M(beta)6|-|8|8 E1|protein-coding	3	9	1	1	11	9	3	2
Irf7|-|-|7|7 F5|protein-coding	234	88	7	24	151	134	36	51
Anks4b|2010013E14Rik|AI956809|Harp|-|7 F2|7 64.45 cM|protein-coding	0	0	0	0	0	0	0	0
Cbx5|2610029O15Rik|C75991|HP1|Hp1a|Hp1alpha|-|15|15 F3|protein-coding	81	51	67	57	67	70	59	82
3425401B19Rik|-|-|14|14 B|protein-coding	0	0	0	0	0	0	0	0
Nat8f6|ENSMUSG00000079495|Gm11128|-|6 C3|6 37.48 cM|protein-coding	0	0	0	0	0	0	0	0
Gm14005|OTTMUSG00000015351|-|2|2 F1|ncRNA	3	1	7	1	1	2	0	2
Glipr1l2|4921508O11Rik|-|10|10 D2|protein-coding	0	0	0	0	0	0	0	0
Dtd1|0610006H08Rik|DUE-B|Hars2|-|2|2 G1|protein-coding	119	88	127	108	112	160	102	109
Sephs2|Sps2|Ysg3|-|7 F3|7 69.43 cM|protein-coding	20	12	18	20	16	23	11	16
Pik3r3|AA414954|p55pik|-|4|4 D1|protein-coding	21	17	19	17	17	12	18	17
Map2k4|JNKK1|MEK4|MKK4|PRKMK4|Sek1|Serk1|-|11 B3|11 40.53 cM|protein-coding	48	32	33	35	35	42	41	40
Msr1|MRS-A|MSR|MSR-A|SR-AI|SR-AII|Scara1|Scvr|-|8 A4|8 23.89 cM|protein-coding	16	10	12	10	18	12	9	10
Chchd10|1620401E04Rik|AI267078|Ndg2|-|10|10 C1|protein-coding	2836	1899	2707	2356	2698	3091	2432	2538
Colec10|CL-L1|-|15 D1|15 21.15 cM|protein-coding	0	0	0	0	0	0	1	0
Tnfsf4|Ath-1|Ath1|CD134L|OX-40L|Ox40l|TXGP1|Tnlg2b|Txgp1l|gp34|-|1 H2.1|1 69.75 cM|protein-coding	0	0	0	0	0	0	0	0
Taok3|2900006A08Rik|A130052D22|A430105I05Rik|-|5|5 F|protein-coding	6	6	6	8	8	11	4	6
Caln1|9630012C17Rik|Cabp8|MNCb-0849|-|5|5 G1.3-G2|protein-coding	1	0	0	0	0	0	0	0
Mir6388|Gm27925|mmu-mir-6388|-|12|12 F2|ncRNA	0	0	0	0	0	0	0	0
Krt16|AI324768|CK-16|K16|Krt1-16|-|11|11 D|protein-coding	0	0	0	0	0	0	0	0
Tmem261|1700027K24Rik|3110001D03Rik|-|4|4 C3|protein-coding	75	60	97	78	49	86	94	102
Pde6d|AI841218|PrBP/delta|-|1|1 C5|protein-coding	158	87	110	107	114	137	107	115
Tenm2|Odz2|Odz3|Ten-2|Ten-m2|-|11 A4-A5|11 21.96 cM|protein-coding	4	0	3	1	1	0	2	0
Ldb3|AW742271|PDLIM6|ZASP|-|14|14 B|protein-coding	0	0	0	2	1	1	1	1
Hs6st3|6OST3|HS6ST-3|-|14|14 E4|protein-coding	0	0	0	0	0	0	0	0
Osmr|OSMRB|-|15 A1|15 3.3 cM|protein-coding	71	63	28	46	36	55	31	28
1700101I11Rik|-|-|6|6 F3|ncRNA	1	1	0	1	0	1	0	0
Stx18|1810035L21Rik|4933425D03Rik|AU041562|-|5|5 B3|protein-coding	161	84	119	117	119	175	101	130
Cul1|-|-|6|6 B2.3|protein-coding	93	53	68	65	75	79	64	70
Myt1l|2900046C06Rik|2900093J19Rik|C630034G21Rik|Nztf1|Pmng1|Png-1|mKIAA1106|-|12 A2|12 11.86 cM|protein-coding	0	0	0	0	0	0	0	0
Olfr1195|MOR230-4|-|2|2 D|protein-coding	0	0	0	0	0	0	0	0
Spcs3|1810011E08Rik|SPC22/23|-|8|8 B1.3|protein-coding	92	63	81	88	79	84	86	90
E2f4|2010111M04Rik|AI427446|-|8|8 D3|protein-coding	19	15	20	11	14	22	13	18
Slc23a4|2010107G12Rik|Gm468|-|6|6 B1|protein-coding	0	0	0	1	0	0	0	0
2410006H16Rik|-|-|11|11 B2|ncRNA	4	4	4	6	6	11	7	2
Dus4l|2310069P03Rik|2700089B10Rik|AI482040|Pp35|-|12|12 A2|protein-coding	0	3	1	6	4	3	4	1
Rap2a|5830461H18Rik|-|14 E4|14 64.72 cM|protein-coding	14	9	9	5	11	10	10	12
Xkr4|AY534250|Gm210|XRG4|mKIAA1889|-|1|1 A1|protein-coding	0	0	0	0	0	0	0	0
Gab2|AI463667|D130058I17Rik|p97|-|7|7 E1|protein-coding	6	4	4	4	5	7	4	9
Rtn2|MMS10-P|Ms10p|NSPLI|Nspl1|-|7 A3|7 9.54 cM|protein-coding	1	1	2	2	1	2	0	2
Gm11937|-|-|11|11 D|protein-coding	0	0	0	0	0	0	0	0
Ssh3|BC028922|SSH-3|mSSH-3L|-|19|19 A|protein-coding	2	5	2	3	3	4	4	3
AA414768|OTTMUSG00000017000|-|X|X A1.1|protein-coding	2	2	4	1	3	3	4	6
E2f1|E2F-1|mKIAA4009|-|2 H1|2 76.79 cM|protein-coding	46	31	49	39	35	61	56	55
Ccar1|2610511G16Rik|9430036H15Rik|Carp1|-|10|10 B4|protein-coding	32	9	25	23	24	13	20	27
Lor|AI036317|S77319|-|3 F1|3 40.14 cM|protein-coding	0	0	0	0	0	1	0	0
Wdr59|5430401O09Rik|Cdw12|-|8|8 E1|protein-coding	8	4	8	10	2	4	3	9
Slc26a1|Sat1|-|5|5 F|protein-coding	1	0	1	0	0	2	1	0
Ap1m1|AA408894|AP47|Adtm1A|Cltnm|mu1A|-|8 B3.3|8 34.92 cM|protein-coding	166	91	141	148	155	178	117	143
Zfp963|-|-|8|8 B3.3|protein-coding	3	2	2	4	3	2	4	6
1700029J07Rik|-|-|8|8 B1.1|protein-coding	6	7	5	5	7	8	3	5
Gm10336|B330003H21|ENSMUSG00000071543|-|13 A1|13|ncRNA	2	1	3	2	1	3	1	0
Serpina3b|6A1|A030003A19Rik|-|12|12 E|protein-coding	0	0	0	0	0	0	0	0
Ube2i|5830467E05Rik|F830028O17Rik|UBC9|Ubce2i|Ubce9|-|17|17 A3.3|protein-coding	12	9	9	12	12	8	6	10
Pif1|4631410M14|AI449441|-|9|9 C|protein-coding	0	0	0	0	0	0	0	1
Olfr698|MOR283-3|-|7|7 E3|protein-coding	0	0	0	0	0	0	0	0
Lgals3bp|90K|CyCAP|MAC-2BP|Ppicap|Tango10b|-|11|11 E2|protein-coding	927	555	417	488	937	1071	565	705
Olfr1181|MOR225-9P|-|2|2 D|protein-coding	0	0	0	0	0	0	0	0
C030034L19Rik|A130044O20Rik|-|3|3 A1|ncRNA	0	0	0	0	0	0	0	0
Tas2r126|T2R12|T2R26|Tas2r26|Tas2r41|mGR26|mt2r35|-|6|6 B2.1|protein-coding	0	0	0	0	0	0	0	0
Ackr4|A630091E18Rik|CCBP2|CCR11|CCX-CKR|CCX-CKR1|Ccrl1|Cmkbrl1|PPR1|VSHK1|-|9|9 F1|protein-coding	1	0	2	0	3	1	1	3
Mrpl16|2310039D06Rik|-|19|19 A|protein-coding	66	45	55	62	63	60	48	65
Naip1|AV364616|Birc1a|D13Lsd1|Naip|Naip-rs1|-|13 D1|13 53.18 cM|protein-coding	0	0	0	0	0	0	0	0
Ifna2|Ifa2|-|4 C4|4 42.02 cM|protein-coding	0	0	0	0	0	0	0	0
Ap1g1|AA409002|AU041323|AW551707|Adtg|D8Ertd374e|-|8 D3|8 57.26 cM|protein-coding	49	26	34	21	37	39	31	26
Rap1gapos|1810058N05Rik|-|4|4 D3|ncRNA	0	0	0	0	0	0	0	0
Gcnt2|5330430K10Rik|IGnT|IGnTA|IGnTB|IGnTC|-|13 A3.3|13 20.12 cM|protein-coding	21	15	10	23	20	17	17	13
Arhgef9|9630036L12Rik|-|X|X C3|protein-coding	3	1	4	4	1	1	3	3
Olfr1260|MOR232-2|-|2|2 E1|protein-coding	0	0	0	0	0	0	0	0
4930525C09Rik|-|-|10|10 C3|ncRNA	0	0	0	0	0	0	0	0
Gbp5|5330409J06Rik|Gbp5a|-|3|3 H1|protein-coding	4	12	0	0	3	4	0	0
Ippk|1810043M15Rik|InsP6|-|13|13 A5|protein-coding	18	16	25	25	26	20	18	21
Aire|-|-|10 C1|10 39.72 cM|protein-coding	5	2	0	3	1	4	2	2
Figla|FIGalpha|bHLHc8|-|6|6 C3|protein-coding	0	0	0	0	0	0	0	0
Defa37|Gm14850|OTTMUSG00000018259|-|8|8 A2|protein-coding	0	0	0	0	0	0	0	0
Pbx3|-|-|2 B|2 22.84 cM|protein-coding	10	8	3	5	5	5	4	5
Zfp389|ENSMUSG00000075041|OTTMUSG00000018077|-|13 A3.1|13|pseudo	0	0	0	0	0	0	0	0
Pomgnt2|Ago61|C85492|Gtdc2|-|9|9 F4|protein-coding	57	29	47	35	45	56	48	48
Mall|BC012256|BENE|-|2|2 F1|protein-coding	3	0	0	0	0	0	0	0
Cd5l|1/6|AAC-11|AI047839|Api6|CT2|Pdp|Sp-alpha|mAIM|-|3|3 F1|protein-coding	0	0	0	0	0	0	0	0
Kmt2a|6430520K01|ALL-1|All1|Cxxc7|HRX|HTRX1|Mll|Mll1|mKIAA4050|-|9 A5.2|9 24.84 cM|protein-coding	13	5	7	11	12	10	5	13
Olfr1020|MOR201-2|-|2|2 D|protein-coding	0	0	0	0	0	0	0	0
Cdk5rap2|2900018K03Rik|an|mKIAA1633|-|4|4 C2|protein-coding	9	4	3	5	11	5	4	3
Nup107|AW541137|C76801|-|10|10 D2|protein-coding	7	6	8	9	6	6	12	6
Pnrc1|5730463C12Rik|B4-2|PRR2|Prol2|-|4|4 A5|protein-coding	95	82	60	66	72	84	63	50
Kcns3|-|-|12 A1.1|12 5.58 cM|protein-coding	2	0	0	0	1	0	0	0
Ear14|-|-|14|14 C1|protein-coding	0	0	0	0	0	0	0	0
Bod1l|A230054D04Rik|AI853319|FAM44A|mKIAA1327|-|5|5 B3|protein-coding	19	21	10	7	13	14	13	12
Ogdh|2210403E04Rik|2210412K19Rik|AA409584|d1401|mKIAA4192|-|11|11 A1|protein-coding	213	131	215	172	194	197	156	204
Clk1|STY|-|1 C1.3|1 29.09 cM|protein-coding	14	11	10	13	17	18	16	16
Hsdl1|2700067E09Rik|-|8|8 E1|protein-coding	42	17	35	26	32	28	20	28
9330020H09Rik|ENSMUSG00000075426|-|15 F1|15|ncRNA	2	2	4	7	6	3	6	6
Lrrc46|1700006D24Rik|-|11|11 D|protein-coding	6	10	7	6	5	16	6	9
2010107G23Rik|AA545165|-|10|10 B4|protein-coding	26	16	25	23	22	24	19	14
Olfr648|MOR31-12|-|7|7 E3|protein-coding	0	0	0	0	0	0	0	0
Ggps1|1810026C22Rik|9530089B04Rik|AI843169|C79210|-|13 A1|13 5.29 cM|protein-coding	45	34	32	41	45	28	35	30
Derl3|1810006I20Rik|1810063P04Rik|IZP6|derlin-3|-|10|10 C1|protein-coding	2	0	0	0	0	2	0	2
Slc6a18|B0AT3|D630001K16Rik|Xt2|Xtrp2|-|13 C1|13 40.13 cM|protein-coding	0	0	0	0	0	0	0	0
Sbf1|2610510A08Rik|B230113C15Rik|Mtmr5|mKIAA3020|-|15|15 E3|protein-coding	21	7	15	13	12	17	17	15
Fut7|AI853193|FTVII|Fuc-TVII|FucT-VII|-|2|2 A3|protein-coding	0	0	0	0	0	0	0	0
Gm9962|ENSMUSG00000055048|-|7 B5|7|ncRNA	0	0	0	0	0	0	0	0
Mir8099-1|Gm27917|mmu-mir-8099-1|-|12|3 F2.1|ncRNA	0	0	0	0	0	0	0	0
Atp6v1g2|1500002D01Rik|Atp6g2|NG38|VAG2|-|17|17 B1|protein-coding	10	3	2	4	5	3	3	3
Krtap6-2|AI646275|HGTpII.4|-|16|16 C3.3|protein-coding	0	0	0	0	0	0	0	0
H2-Ab1|AI845868|Abeta|H-2Ab|H2-Ab|I-Abeta|IAb|Ia-2|Ia2|Rmcs1|-|17 B1|17 17.98 cM|protein-coding	63	76	5	2	91	124	6	7
Rc3h1|5730557L09Rik|Gm551|N28103|mKIAA2025|-|1|1 H2.1|protein-coding	12	4	5	7	4	2	1	4
Depdc1a|5830484J08Rik|Depdc1|-|3|3 H4|protein-coding	0	0	2	0	0	0	0	0
Prcd|Gm11744|OTTMUSG00000003947|-|11 E2|11|protein-coding	36	13	47	33	34	43	40	37
Olfr1019|MOR180-1|-|2|2 D|protein-coding	0	0	0	0	0	0	0	0
4930453H23Rik|-|-|X|X A2|protein-coding	0	0	0	0	0	0	0	0
Crygd|Aey4|Cryg-1|DGcry-1|Lop12|-|1 C2|1 32.8 cM|protein-coding	0	0	0	0	0	0	0	0
Lmbrd1|0910001K20Rik|AV347960|-|1|1 A5|protein-coding	90	73	92	82	85	94	67	98
Olfr921|MOR165-8|-|9|9 A5.1|protein-coding	0	0	0	0	0	0	0	0
Snord47|MBII-96|-|1 H2.1|1|snoRNA	0	0	0	1	0	0	0	0
4933433H22Rik|-|-|17|17 E4|ncRNA	0	0	0	0	0	0	0	0
Pknox1|D17Wsu76e|PREP1|-|17 B1|17 16.78 cM|protein-coding	6	4	2	1	4	3	5	3
Mir7684|Gm27873|mmu-mir-7684|-|15|15 E1|ncRNA	0	0	0	0	0	0	0	0
Samd15|Gm263|-|12|12 D2|protein-coding	2	1	1	2	3	2	0	0
Uqcrq|1100001F06Rik|1500040F11Rik|5830407L17Rik|9.5kDa|AA959903|QP-C|Qpc|Uqcrb|c1502|-|11|11 B1.3|protein-coding	2316	1751	1898	1837	1899	2262	1711	1910
Lax1|A530029E09|E430019B13Rik|-|1|1 E4|protein-coding	0	0	0	0	0	0	1	0
Klra10|Ly49J|Ly49i2|-|6 F3|6 63.44 cM|protein-coding	0	0	0	0	0	0	0	0
Egln1|AI503754|C1orf12|HIF-PH2|HPH-2|Hif-p4h-2|ORF13|Phd2|SM-20|-|8|8 E2|protein-coding	47	50	41	44	47	79	57	52
Fam187a|4933439F11Rik|-|11|11 E1|protein-coding	0	0	0	0	0	3	0	0
Lrp2bp|1700113N17Rik|2310006J04Rik|4930479L12Rik|MegBP|-|8|8 B1.1|protein-coding	1	1	0	4	1	0	0	0
Oprk1|K-OR-1|KOR|KOR-1|MSL-1|Oprk2|R21|-|1 A1|1 1.89 cM|protein-coding	0	0	0	0	0	0	0	0
Prickle3|Lmo6|Sfc16|-|X A1.1|X 3.45 cM|protein-coding	3	1	4	1	4	5	3	6
Ccno|C86987|Ccnu|E130318K11|Ung2|-|13|13 D2.2|protein-coding	0	0	0	0	0	0	0	0
Fetub|2310011O17Rik|AI255764|D17980|Gugu|-|16 B1|16 13.76 cM|protein-coding	10	1	4	3	4	7	6	6
Avp|Vp|Vsp|-|2 F1|2 63.24 cM|protein-coding	0	0	0	0	0	0	1	0
Ndrg4|D8Bwg1337e|Ndr1-rs|Ndr4|R74996|SMAP-8|-|8|8 D1|protein-coding	6	10	10	5	7	8	4	10
Synm|4930412K21Rik|AI852401|Dmn|E130104F11|Syn|Synemin|-|7|7 C|protein-coding	19	6	19	17	17	9	14	17
Tdp1|2810481F14Rik|4921509N21Rik|AI838772|AW493413|E430034L06Rik|MLZ-501|SCAN1|-|12|12 E|protein-coding	6	2	3	5	3	7	5	6
Troap|AW476063|E130301L11Rik|tastin|-|15|15 F1|protein-coding	0	1	1	0	0	0	1	0
Sned1|6720455I24Rik|AI197264|AI642697|D430044C15Rik|SST3|Snep|-|1|1 D|protein-coding	1	0	0	0	0	0	0	0
P4ha2|AA407196|C76437|P4hl|-|11 B1.3|11 32.13 cM|protein-coding	73	46	52	61	47	95	70	85
Csf2|Csfgm|GMCSF|Gm-CSf|MGI-IGM|-|11 B1.3|11 32.13 cM|protein-coding	4	5	2	1	0	2	3	2
Vmn1r95|Gm17331|-|7 A3|7|protein-coding	0	0	0	0	0	0	0	0
Magel2|Mage-l2|NDNL1|nM15|ns7|-|7 C|7 34.37 cM|protein-coding	0	0	0	0	0	0	0	0
Esyt3|D930024E11|D9Ertd280e|Fam62c|mKIAA4186|-|9 E3.3|9 51.54 cM|protein-coding	0	0	0	0	0	0	0	0
Eif4g1|E030015G23Rik|eIF-4-gamma 1|eIF-4G 1|eIF-4G1|eIF4GI|-|16|16 B1|protein-coding	174	114	137	166	163	184	128	138
Olfr1380|GA_x5J8B7W6C8B-3023-2886|-|11|11 B1.2|protein-coding	0	0	0	0	0	0	0	0
Tprkb|0610033G21Rik|1810034M08Rik|Cgi-121|DRWMS1|mDRWMS1|-|6|6 C3|protein-coding	64	47	54	49	54	62	56	64
Mir221|Mirn221|mir-221|mmu-mir-221|-|X A1.3|X|ncRNA	0	0	0	0	0	0	0	0
Psmc3ip|C79099|GT198|HOP2|Tbpip|-|11|11 D|protein-coding	29	9	25	25	11	23	12	21
Map10|4933403G14Rik|AI835009|mKIAA1383|-|8|8 E2|protein-coding	1	2	1	2	0	3	2	1
Ap1g2|Adtg2|G2ad|-|14|14 C3|protein-coding	6	2	2	1	5	3	2	8
4933430I17Rik|bN189G18.7|-|4|4 B3|protein-coding	0	0	0	0	0	0	0	0
Olfr1098|MOR206-1|-|2|2 D|protein-coding	0	0	0	0	0	0	0	0
Trim30e-ps1|EG625321|Gm6577|Trim30-4|-|7 E3|7|pseudo	0	0	0	0	0	0	0	0
Gm5092|4933430A09|-|17 A3.2|17|ncRNA	0	0	0	0	0	0	0	0
Msh5|Mut5|-|17 B1|17 18.57 cM|protein-coding	4	1	1	0	1	1	0	0
Dnmt3b|MmuIIIB|-|2|2 H1|protein-coding	0	0	0	0	2	0	0	1
Npvf|Rfrp|-|6|6 B2.3|protein-coding	0	0	0	0	0	0	0	0
Rabl2|1110031N17Rik|AW549303|Rabl2a|-|15|15 E3|protein-coding	38	16	23	25	27	30	24	23
Rhoc|AI324259|Arh9|Arhc|-|3|3 F2.2|protein-coding	486	322	291	282	390	450	251	282
Fam3b|2-21|9030624C24Rik|D16Jhu19e|ORF9|Pander|-|16 C4|16 57.47 cM|protein-coding	0	0	0	0	0	0	0	0
Htr2b|5-HT2B|AJ012488|AV377389|-|1|1 C5|protein-coding	3	0	0	2	0	0	1	1
Chn1|0610007I19Rik|0710001E19Rik|1700112L09Rik|2900046J01Rik|AI413815|ARHGAP2|-|2|2 C3|protein-coding	18	21	25	18	11	14	19	27
C1qtnf5|Ctrp5|-|9 A5.1|9 24.62 cM|protein-coding	299	148	241	246	293	397	294	297
Hnf4aos|0610008F07Rik|-|2|2 H3|ncRNA	0	0	0	0	0	0	0	0
Kcnh7|9330137I11Rik|Kv11.3|erg3|-|2|2 C1.3|protein-coding	0	0	0	0	0	0	0	0
Zdhhc6|2400007G07Rik|5930409M18Rik|AI462345|C77369|-|19|19 D2|protein-coding	52	46	44	47	55	53	43	37
Pglyrp2|C730002N09Rik|PGRP-L|Pglyrpl|tagL|-|17|17 B1|protein-coding	1	0	1	0	1	1	0	0
BC030499|BC037104|Sgk494|-|11|11 B5|protein-coding	0	0	0	0	0	0	0	0
Mir5624|Gm25075|mir-5624|mmu-mir-5624|-|13|13 C3|ncRNA	0	0	0	0	0	0	0	0
Tspan5|2810455A09Rik|4930505M03Rik|NET-4|Tm4sf9|-|3|3 H1|protein-coding	30	17	27	19	27	16	20	25
Atpaf2|ATP12|ATP12p|-|11|11 B2|protein-coding	40	27	43	36	46	34	49	38
Trappc2l|1810017G16Rik|AB030200|Hspc176|Tca17|-|8|8 E1|protein-coding	184	138	131	163	173	200	176	139
Slc30a4|Znt4|lm|znT-4|-|2 E5|2 60.65 cM|protein-coding	16	12	15	14	20	26	17	13
Spag1|tpis|-|15|15 B3.1|protein-coding	3	1	1	0	1	0	2	2
Ube2v2|1110021H13Rik|4632410D19Rik|5730524P06Rik|6820402M05|AI848315|C81524|MMS2|-|16|16 A2|protein-coding	7	5	0	6	10	8	5	4
DQ267102|-|-|12 F1|12|snoRNA	0	0	0	0	0	0	0	0
Mgat4c|9130411I17Rik|GntIVh|-|10|10 D1|protein-coding	0	0	0	0	0	0	0	0
Mir466m|mmu-mir-466m|-|2 A1|2 8.22 cM|ncRNA	0	0	0	0	0	0	0	0
Pla2g2d|Splash|mGIID|-|4 D3|4 70.57 cM|protein-coding	0	0	1	0	0	0	0	0
Olfr1324|MOR128-2|-|X|X A5|protein-coding	0	0	0	0	0	0	0	0
Olfr137|MOR256-18|-|17|17 B1|protein-coding	0	0	0	0	0	0	0	0
Gm3336|100041434|2410018E23Rik|-|8 B3.3|8|protein-coding	0	0	1	0	0	0	0	0
Dmrt1i|Dmr|-|5 G2|5|ncRNA	0	0	0	0	0	0	0	0
Arl8b|2610313E07Rik|3100002J04Rik|Arl10c|gie1|-|6|6 E2|protein-coding	65	44	40	41	50	48	41	43
Kpna1|AW494490|IPOA5|NPI1|Rch2|mSRP1|-|16|16 B3|protein-coding	40	24	23	20	38	37	32	29
Ccdc112|8430438M01Rik|AW108467|-|18|18 C|protein-coding	1	4	1	1	2	4	1	2
Zfp467|1190001I08Rik|AB041616|AI426952|AV017623|EZI|MNCb-3350|Znf467|-|6|6 B2.3|protein-coding	12	8	14	9	10	11	19	12
A630089N07Rik|-|-|16|16 C4|ncRNA	0	1	0	0	0	0	0	0
Zfp979|2610305D13Rik|Ssm1b|-|4|4 E1|protein-coding	5	3	5	6	8	7	3	4
Hmgcr|HMG-CoAR|Red|-|13 D1|13 50.65 cM|protein-coding	28	22	23	18	20	26	20	17
Brap|3010002G07Rik|BRAP2|IMP|-|5|5 F|protein-coding	19	13	14	23	20	19	16	28
Rps6ka3|MAPKAPK-1b|MPK-9|Rsk2|S6K-alpha3|p90RSK3|pp90RSK2|-|X F4|X 73.27 cM|protein-coding	16	14	11	15	13	6	10	12
Hypk|2310003F16Rik|HSPC136|-|2|2 E5|protein-coding	231	193	184	175	180	205	183	200
Adam33|Adaml|-|2 F1|2 63.26 cM|protein-coding	0	0	0	1	0	0	0	0
Trim24|A130082H20Rik|AI447469|D430004I05Rik|TIF1|TIF1-alpha|TIF1alpha|Tif1a|-|6|6 B1|protein-coding	9	5	6	3	8	4	4	2
